Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Herzlichen Dank für (die Einladung).	 Many thanks for (the invitation).
Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Ich komme gerne.	 I’m happy to come.
Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Ich nehme gern an (der Ausstellungseröffnung) teil.	 I’m happy to attend (the exhibition opening).
Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Ich freue mich schon auf (die neuen Bilder) …	 I’m already looking forward to (the new paintings) …
Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Leider kann ich nicht kommen/teilnehmen.	 Unfortunately, I can‘t come/attend.
Reaktion auf eine Einladung zu einer Veranstaltung:	Reacting to an invitation to an event:	 Leider bin ich am … verhindert	 Unfortunately, I’m tied up on ...
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 kranke Menschen untersuchen und behandeln	 to examine and treat sick people
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Menschen pflegen und versorgen	 to nurse and look after people
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Verbrecher suchen, verhaften und verhören	 to search for, arrest and interrogate criminals
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 andere Menschen vor Gericht vertreten	 to represent other people in court
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 gläubige Menschen betreuen und Predigten halten	 to mentor religious people and deliver sermons
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 an einer Universität lehren und forschen	 to teach and do research at a university
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Maschinen oder Verkehrssysteme konstruieren	 to design machines or traffic systems
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 die Interessen seines Landes vertreten und mit Menschen aus anderen Ländern verhandeln	 to represent the interests of one’s country and negotiate with people from other countries
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Pläne haben und umsetzen	 to have and implement plans
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 an Olympischen Spielen teilnehmen	 to participate in the Olympic Games
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 neue Softwareprogramme entwickeln	 to develop new software programs
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 recherchieren und Artikel schreiben	 to do research and write articles
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 sich mit etwas beschäftigen	 to deal with something
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Schüler unterrichten	 to teach pupils
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Kunden betreuen	 to serve customers
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Menschen helfen	 to help people
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Rechnungen schreiben	 to write invoices
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 früh aufstehen	 to get up early
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 viele Dienstreisen machen	 to go on many business trips
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 Zu den Aufgaben (eines Reiseleiters/einer Innenarchitektin) gehören …	 The duties of a ((male) courier)/a ((female) interior architect) include …
Berufe Verschiedene Tätigkeiten:	Professions Various activities:	 (Eine Managerin) muss am Computer arbeiten.	 (A (female) manager) needs to work at the computer.
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	 ein hohes/niedriges Ansehen haben	 to have a high/poor reputation
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	 Als (Reiseleiter/Informatiker) muss man mehrere Sprachen sprechen, programmieren mehrere Sprachen sprechen, programmieren können, gut mit Menschen umgehen können.	 As a (courier/computer scientist) you need to speak several languages, be able to program, be good at working with people.
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	 Als (Reiseleiter/Informatiker) braucht man gute	 As a (courier/computer scientist) you need good
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	Sprachkenntnisse, Organisationstalent,  gute Menschenkenntnis, gute Nerven,	language skills, organisational skills, a good knowledge of human nature, good nerves,
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	Computerkenntnisse …	computer skills …
Berufe Ansehen und Fähigkeiten:	Professions Reputation and skills:	 Als (Reiseleiter) sollte man zuverlässig, fleißig, kommunikativ, ordentlich, kontaktfreudig, freundlich, kollegial, kreativ, gewissenhaft, pünktlich, geduldig, konsequent, lernfähig, überzeugend … sein.	 As a (courier) you should be reliable, hard-working, communicative, orderly, sociable, friendly, cooperative, creative, conscientious, punctual, patient, consistent, able to learn, convincing …
Berufe Arbeitsbedingungen	Professions Working conditions	viel/wenig Geld verdienen	to earn a lot of/little money
Berufe Arbeitsbedingungen	Professions Working conditions	ein hohes/niedriges Gehalt bekommen	to receive a high/low salary
Berufe Arbeitsbedingungen	Professions Working conditions	flexible/feste Arbeitszeiten haben	to have flexible/fixed working hours
Berufe Arbeitsbedingungen	Professions Working conditions	selbstständig arbeiten	to work autonomously
Berufe Arbeitsbedingungen	Professions Working conditions	einen unbefristeten/befristeten Arbeitsvertrag haben	to have a permanent/temporary employment contract
Berufe Arbeitsbedingungen	Professions Working conditions	viele Überstunden machen	to work a lot of overtime
Berufe Arbeitsbedingungen	Professions Working conditions	gute Karrieremöglichkeiten haben	to have bright career prospects
Berufe Arbeitsbedingungen	Professions Working conditions	eine abwechslungsreiche Arbeit haben	to have a multifaceted job
Berufe Arbeitsbedingungen	Professions Working conditions	Der Arbeitgeber erlaubt/verbietet die private Nutzung des Internets/private E-Mails.	The employer allows/prohibits the use of the internet for private purposes/private emails.
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	jemanden anrufen	to call somebody
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	jemanden zurückrufen	to call somebody back
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	mit jemandem telefonieren	to talk to somebody on the phone
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	ein Telefongespräch führen/beenden	to make/end a phone call
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	den Namen nennen	to give one’s name
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	eine Nachricht hinterlassen	to leave a message
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	jemandem etwas ausrichten	to deliver a message to somebody
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	einen Termin vereinbaren/verschieben/absagen	to make/postpone/cancel an appointment
Kontakte im Büro oder am Telefon	Contacts at the office or on the phone	einen Terminvorschlag machen	to propose a date
Umgangsformen im Geschäftsleben	Business etiquette	Gutes Benehmen ist wichtig.	Good manners are important.
Umgangsformen im Geschäftsleben	Business etiquette	„Pünktlichkeit ist die Höflichkeit der Könige.“	“Punctuality is the politeness of kings.”
Umgangsformen im Geschäftsleben	Business etiquette	jemandem zur Begrüßung die Hand geben/ die Begrüßung mit Handschlag	to greet someone by shaking hands/ to greet with a handshake
Umgangsformen im Geschäftsleben	Business etiquette	formelle/informelle Kleidung tragen	to wear formal/informal clothing
Umgangsformen im Geschäftsleben	Business etiquette	jemanden duzen/siezen	to address somebody informally/formally
Umgangsformen im Geschäftsleben	Business etiquette	eine Visitenkarte überreichen	to give (somebody) a business card
Umgangsformen im Geschäftsleben	Business etiquette	im Restaurant Trinkgeld geben	to tip at the restaurant
Umgangsformen im Geschäftsleben	Business etiquette	Gesprächsthemen (wie Politik) meiden	to avoid topics (such as politics)
Lesen	Reading	der Wenigleser	the person who does not read very much
Lesen	Reading	der Normalleser	the person who reads a normal amount
Lesen	Reading	die Leseratte	the avid reader
Lesen	Reading	der Bücherwurm	the bookworm
Lesen	Reading	ohne Bücher nicht auskommen/nicht leben können	to not be able to survive/live without books
Lesen	Reading	keine Bücher zum Leben brauchen	to not need books to survive
Lesen	Reading	Bücher verschlingen/kaufen/lesen/konsumieren/ ausleihen/verschenken/auswählen/beurteilen	to devour/buy/read/consume/ lend/give away/choose/evaluate books
Lesen	Reading	ein Totalverweigerer oder „buchresistent“ sein	to be a complete objector or „book-resistant“
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	eine große Rolle in der Geschichte spielen	to play a major role in history
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	einen Übergang (vom Mittelalter zur Neuzeit) kennzeichnen	to mark a transition (from the Middle Ages to the modern era)
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Es vollzogen sich politische Veränderungen.	Political changes took place.
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Es wurden Entdeckungen gemacht.	Discoveries were made.
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Es gab viele Widersprüche.	There were many conflicts.
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Es fanden schreckliche Kriege statt.	Terrible wars took place.
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Die Menschen konnten (nicht lesen und schreiben).	People could (not read and write).
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Sie wohnten in …	They lived in …
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Sie aßen … und tranken …	They ate … and drank …
Über ein Jahrhundert/ ein geschichtliches Ereignis sprechen	Talking about a century/ an historic event	Sie übten Berufe wie (Handwerker) aus.	They practised professions such as (craftspeople).
Hypothesen in der Vergangenheit formulieren	Formulating hypotheses in the past tense	Wenn ich (im 15. Jahrhundert) gelebt hätte, … hätte ich (in einem kleinen Haus) gewohnt.	If I had lived (in the 15th century) … I would have lived (in a small house).
Medien und Zubehör	Media and equipment	die Tastatur	the keyboard
Medien und Zubehör	Media and equipment	der Bildschirm	the screen
Medien und Zubehör	Media and equipment	das Smartphone	the smartphone
Medien und Zubehör	Media and equipment	das Radio	the radio
Medien und Zubehör	Media and equipment	das Tablet	the tablet
Medien und Zubehör	Media and equipment	der Fernseher	the TV
Medien und Zubehör	Media and equipment	die Spielkonsole	the games console
Medien und Zubehör	Media and equipment	die Foto-/Videokamera	the camera/video camera
Medien und Zubehör	Media and equipment	der Kopfhörer	the headphones
Medien und Zubehör	Media and equipment	der Lautsprecher	the speaker
Medien und Zubehör	Media and equipment	das Fitnessarmband	the fitness tracker
Medien und Zubehör	Media and equipment	die Steckdose	the socket
Medien und Zubehör	Media and equipment	das Verbindungskabel	the connecting cable
Medien und Zubehör	Media and equipment	die Fernbedienung	the remote control
Medien und Zubehör	Media and equipment	die Ladestation	the charging station
Fernsehen	Television	private und öffentlich-rechtliche Fernsehsender (Pl.)	private and public television stations
Fernsehen	Television	das Fernsehprogramm	the television programme
Fernsehen	Television	die Sendezeit	the airtime
Fernsehen	Television	die Fernsehsendung	the TV programme
Fernsehen	Television	Filme werden synchronisiert/laufen mit Untertiteln.	Films are dubbed/shown with subtitles.
Fernsehen	Television	Fernsehsender und Sendungen haben Marktanteile und Einschaltquoten.	Television stations and programmes have market shares and viewing figures.
Fernsehen	Television	Die Einschaltquote steigt/sinkt.	The viewing figures are increasing/decreasing.
Fernsehen	Television	Das Fernsehprogramm orientiert sich an bestimmten Zielgruppen/wird auf bestimmte Zielgruppen abgestimmt.	The TV programme is oriented towards specific target groups/is geared towards specific target groups.
Fernsehen	Television	Programme richten sich an Jugendliche/Erwachsene.	Programmes are aimed at teenagers/adults.
Fernsehen	Television	Experten wissen alles über die Sehgewohnheiten der Deutschen. 	Experts know everything about the viewing habits of Germans
Werbung Werbeformen:	Advertisement Types of advertising:	 E-Mail-Werbung	 email marketing
Werbung Werbeformen:	Advertisement Types of advertising:	 Influencer-Werbung	 influencer advertising
Werbung Werbeformen:	Advertisement Types of advertising:	 Social-Media-Marketing	 social media marketing
Werbung Werbeformen:	Advertisement Types of advertising:	 Suchmaschinenwerbung	 search engine advertising
Werbung Werbeformen:	Advertisement Types of advertising:	 Werbefilm/Werbespot	 promotional film/commercial
Werbung Werbeformen:	Advertisement Types of advertising:	 Printwerbung: Plakate, Flyer, Zeitungsannoncen	 Print advertising: posters, flyers, newspaper advertisements
Werbung Werbeformen:	Advertisement Types of advertising:	 Personalisierte Display-Werbung	 personalised display advertising
Werbung Werbeformen:	Advertisement Types of advertising:	 Sponsoring	 sponsoring
Geschichte der Werbung:	History of advertising:	 Werbetafeln aus Stein	 stone billboards
Geschichte der Werbung:	History of advertising:	 Marktschreier	 market criers
Geschichte der Werbung:	History of advertising:	 Werbezeitungen	 promotional newspapers
Geschichte der Werbung:	History of advertising:	 Einführung der Pressefreiheit	 establishment of freedom of the press
Geschichte der Werbung:	History of advertising:	 Zielgruppenwerbung	 target audience advertising
Geschichte der Werbung:	History of advertising:	 der erste Boom in der Werbebranche	 the first boom in the advertising industry
Geschichte der Werbung:	History of advertising:	 berühmte Markennamen	 famous brand names
Geschichte der Werbung:	History of advertising:	 Wünsche bei den Konsumenten wecken	 to ignite consumer desire
Geschichte der Werbung:	History of advertising:	 Etablierung von Scheinwelten	 creation of unreal worlds
Geschichte der Werbung:	History of advertising:	 Träume und Wünsche gehen beim Kauf in Erfüllung.	 Dreams and wishes come true when making a purchase.
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 einzigartig	 unique
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 fantastisch	 fantastic
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 riesig	 gigantic
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 topmodern	 state-of-the-art
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 superschnell	 super-fast
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 erstklassig	 first class
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 günstig	 cheap
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 bildschön	 picture perfect
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 supergünstig	 super cheap
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 hochaktuell	 highly fashionable
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 brandneu	 brand-new
Produkteigenschaften Wichtige Adjektive in der Werbung:	Product properties Important adjectives in advertising:	 preiswert	 inexpensive
Produktkauf	Purchasing a product	Ich hätte gern …	I would like to have ...
Produktkauf	Purchasing a product	Ich brauche …	I need …
Produktkauf	Purchasing a product	Was kostet … ? 	How much does … cost?
Produktkauf	Purchasing a product	Kann ich mit … bezahlen?	Can I pay by …?
Produktkauf	Purchasing a product	In welchen Farben …?	In what colours …?
Produktkauf	Purchasing a product	Aus welchem Material …?	What material is … made of?
Produktkauf	Purchasing a product	In welchen Größen …?	What sizes …?
Produktkauf	Purchasing a product	Kann ich … umtauschen?	Can I exchange …?
Produktkauf	Purchasing a product	Wie lange hat … Garantie?	How long is the warranty period for …?
Produktkauf	Purchasing a product	Wann können Sie … liefern?	When can you deliver .?
Sich beschweren:	Complaining:	 Ich möchte mich über … beschweren.	 I would like to complain about …
Sich beschweren:	Complaining:	 Es war abgesprochen/vereinbart, dass …	 It was agreed that …
Sich beschweren:	Complaining:	 Ich habe erwartet, dass …	 I expected that …
Sich beschweren:	Complaining:	 Wenn Sie nicht (bis zum Wochenende liefern), dann (möchte ich mein Geld zurück).	 If you do not (deliver by the weekend), then I (would like my money back).
Sich beschweren:	Complaining:	 Ich bin nicht zufrieden mit …	 I am not satisfied with …
Sich beschweren:	Complaining:	 Ich fordere mein Geld in voller Höhe zurück.	 I am asking for a full refund.
Auf eine Beschwerde reagieren:	Reacting to a complaint:	 Ich kann Ihren Ärger (nicht) verstehen.	 I can (not) understand why you are upset.
Auf eine Beschwerde reagieren:	Reacting to a complaint:	 Ich werde mich persönlich darum kümmern.	 I will take care of it personally.
Auf eine Beschwerde reagieren:	Reacting to a complaint:	 Das tut mir leid.	 I’m sorry about that.
Auf eine Beschwerde reagieren:	Reacting to a complaint:	 Ich werde dafür sorgen, dass …	 I will make sure that …
Auf eine Beschwerde reagieren:	Reacting to a complaint:	 Wir werden das prüfen/überprüfen	 We will check that
Sprachen lernen	Learning languages	Fremdsprachen sprechen/lernen/können/ beherrschen	to speak/learn/know/be proficient in foreign languages
Sprachen lernen	Learning languages	einen Kurs machen/besuchen	to take/attend a course
Sprachen lernen	Learning languages	ein Wort im Wörterbuch nachschlagen	to look up a word in the dictionary
Sprachen lernen	Learning languages	sich ein Wort merken/einprägen/notieren	to remember/memorise/write down a word
Sprachen lernen	Learning languages	ein Wort mit Konzentration und Aufmerksamkeit lernen	to learn a word with concentration and attention
Sprachen lernen	Learning languages	Ein Wort verschwindet aus dem Gedächtnis.	A word disappears from one’s memory.
Sprachen lernen	Learning languages	eine Aufgabe machen/überprüfen/kontrollieren	to do/check a task
Sprachen lernen	Learning languages	einen Aufsatz schreiben/abgeben/korrigieren	to write/hand in/correct an essay
Sprachen lernen	Learning languages	etwas wiederholen	to repeat something
Sprachen lernen	Learning languages	die Wörter an die Tafel schreiben/anschreiben	to write the words on the board
Sprachen lernen	Learning languages	eine Sprachprüfung ablegen/bestehen/machen	to take/pass/take a language exam
Sprachen lernen	Learning languages	bei einer Prüfung durchfallen	to fail an exam
Sprachen lernen	Learning languages	einen Muttersprachler um Hilfe bitten	to ask a native speaker for help
Sprachen lernen	Learning languages	sprachbegabt sein	to be gifted at languages
Sprachen lernen	Learning languages	ein bestimmter Lerntyp sein	to be a certain type of learner
Lebenslanges Lernen	Lifelong learning	die Allgemeinbildung	general education
Lebenslanges Lernen	Lifelong learning	die Ausbildung	vocational training
Lebenslanges Lernen	Lifelong learning	die Weiterbildung	continuing education
Lebenslanges Lernen	Lifelong learning	die Fortbildung	in-service training
Lebenslanges Lernen	Lifelong learning	einen Kurs besuchen/machen	to attend/take a course
Lebenslanges Lernen	Lifelong learning	an einem Kurs teilnehmen	to take part in a course
Lebenslanges Lernen	Lifelong learning	etwas Neues lernen	to learn something new
Lebenslanges Lernen	Lifelong learning	besser mit etwas umgehen können	to be able to handle something better
Lebenslanges Lernen	Lifelong learning	sich auf dem Arbeitsmarkt durchsetzen	to be successful on the labour market
Lebenslanges Lernen	Lifelong learning	Fremdsprachen spielen eine wichtige Rolle.	Foreign languages play an important role.
Lebenslanges Lernen	Lifelong learning	Herausforderungen annehmen	to accept challenges
Lebenslanges Lernen	Lifelong learning	Verantwortung übernehmen	to assume responsibility
Lebenslanges Lernen	Lifelong learning	Kompetenzen (er)lernen	to gain competences
Lebenslanges Lernen	Lifelong learning	Erfahrungen sammeln und austauschen	to gain and exchange experience
Lerntipps	Study tips	im Liegen/im Sitzen/im Stehen/mit Musik lernen	to study/revise while lying down/while seated/while standing up/with music
Lerntipps	Study tips	Etwas erhöht den Intelligenzquotienten/ das Denkvermögen/die Kreativität.	Something increases one’s intelligence quotient/ ability to think/creativity.
Lerntipps	Study tips	Etwas steigert die Leistungsfähigkeit.	Something improves one’s performance.
Lerntipps	Study tips	Etwas hat negative/positive Auswirkungen auf die Leistung.	Something has negative/positive effects on one’s performance.
Lerntipps	Study tips	Etwas macht schlechte/gute Laune.	Something puts (someone) in a bad/good mood.
Schule, Zeugnisse und Noten	School, school reports and grades	Das Lernen fällt jemandem schwer/leicht.	Somebody has difficulties learning./Learning comes naturally to somebody.
Schule, Zeugnisse und Noten	School, school reports and grades	sich für bestimmte Fächer interessieren	to be interested in certain subjects
Schule, Zeugnisse und Noten	School, school reports and grades	Unterrichtsstunden/Seminare/Vorlesungen schwänzen	to skip lessons/seminars/lectures
Schule, Zeugnisse und Noten	School, school reports and grades	eine Leistung beurteilen	to assess a performance
Schule, Zeugnisse und Noten	School, school reports and grades	gute/schlechte Noten/Zeugnisse bekommen	to receive good/bad marks/school reports
Schule, Zeugnisse und Noten	School, school reports and grades	ein Stipendium ergattern/erhalten	to manage to get/receive a scholarship
Schule, Zeugnisse und Noten	School, school reports and grades	sich verbessern/verschlechtern	to improve/to worsen
Verkehrsmittel	Means of transportation	das Fahrrad	the bicycle
Verkehrsmittel	Means of transportation	der Zug	the train
Verkehrsmittel	Means of transportation	die Straßenbahn	the tram
Verkehrsmittel	Means of transportation	die U-Bahn	the metro
Verkehrsmittel	Means of transportation	die S-Bahn	the commuter train
Verkehrsmittel	Means of transportation	der Bus	the bus
Verkehrsmittel	Means of transportation	das Auto	the car
Verkehrsmittel	Means of transportation	der (Firmen-)Wagen	the (company) car
Verkehrsmittel	Means of transportation	das Taxi	the taxi
Verkehrsmittel	Means of transportation	das Motorrad	the motorcycle
Verkehrsmittel	Means of transportation	das Moped	the moped
Verkehrsmittel	Means of transportation	der Lkw (Lastkraftwagen)	the lorry
Verkehrsmittel	Means of transportation	das Flugzeug	the aeroplane
Verkehrsmittel	Means of transportation	der Hubschrauber	the helicopter
Verkehrsmittel	Means of transportation	die Fähre	the ferry
Verkehrsmittel	Means of transportation	das Motorboot	the motorboat
Verkehrsmittel	Means of transportation	das Segelboot	the sailboat
Verkehrsmittel	Means of transportation	das Schiff	the ship
Verkehrsmittel	Means of transportation	die öffentlichen Verkehrsmittel	the means of public transport
Der tägliche Straßenverkehr	Daily traffic	der Stau	the traffic jam
Der tägliche Straßenverkehr	Daily traffic	die Ampel/Ampeln, die immer auf Rot steht/stehen	the traffic light/traffic lights that is/are always red
Der tägliche Straßenverkehr	Daily traffic	hupende Autofahrer	honking car drivers
Der tägliche Straßenverkehr	Daily traffic	Sonntagsfahrer	Sunday drivers
Der tägliche Straßenverkehr	Daily traffic	Raser	speeders
Der tägliche Straßenverkehr	Daily traffic	die Baustelle	the construction site
Der tägliche Straßenverkehr	Daily traffic	die Umleitung	the diversion
Der tägliche Straßenverkehr	Daily traffic	die Verspätung	the delay
Der tägliche Straßenverkehr	Daily traffic	volle Busse/Züge/U-Bahnen	crowded buses/trains/metros
Der tägliche Straßenverkehr	Daily traffic	unfreundliche Mitmenschen	unfriendly fellow human beings
